Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,Langs,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,ProfGroup,NativeRange,FofA_Prod,FofA_Comp,BLE,Battery,Item,Seq_Item,Response,Response_Freq,MainVerb,VerbList,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Reg_Main,Reg_Numerical,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Task,Modality,MV_Class,SV_Class,Condition,Verb_Condition,Grupo,Tarea,FofA,Token_Differential,FofA_Std,FofA_Prod_Std,FofA_Comp_Std,AoA_ENG_Std,DELE_Std,Token_Main_Std,Token_Differential_Std,Token_Pret_Std,Token_Sub_Std,LOR_Std
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,0,B,33P,27,0,0,#07: faltar,faltar,182742,66767,55352,Regular,1,DativeExp,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,G,Regular stative with entre,Herencia,Producción,23,-11415,-0.8306529027696138,-1.1697214828742948,-0.4536033661093184,-0.40119110293632987,1.2310062696614938,-0.6739429068614455,-0.41990381841243685,-0.5977059120896593,NA,-0.20023381182905947
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,0,B,23P,29,1,1,#04: vivir,vivir,599425,225093,130040,Regular,1,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,E,Regular stative with durante,Herencia,Producción,23,-95053,-0.8306529027696138,-1.1697214828742948,-0.4536033661093184,-0.40119110293632987,1.2310062696614938,-0.5664585110967527,-0.503631071852437,-0.36261442737020205,NA,-0.20023381182905947
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,0,B,37P,32,1,1,#10: excluir,excluir,53412,6569,1574,Irregular,0,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,H,Irregular stative with entre,Herencia,Producción,23,-4995,-0.8306529027696138,-1.1697214828742948,-0.4536033661093184,-0.40119110293632987,1.2310062696614938,-0.7073038956808784,-0.4134769673748128,-0.6870913396071983,NA,-0.20023381182905947
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,0,B,27P,34,0,0,#01: estar,estar,10180830,1173419,2479642,Irregular,0,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,F,Irregular stative with durante,Herencia,Producción,23,1306223,-0.8306529027696138,-1.1697214828742948,-0.4536033661093184,-0.40119110293632987,1.2310062696614938,1.9050882690738,0.8991402855615335,1.0455141638786385,NA,-0.20023381182905947
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,0,B,32P,37,1,1,#08: amar,amar,80242,5580,14966,Regular,1,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,G,Regular stative with entre,Herencia,Producción,23,9386,-0.8306529027696138,-1.1697214828742948,-0.4536033661093184,-0.40119110293632987,1.2310062696614938,-0.7003830317666636,-0.39908062083710694,-0.6885598632760053,NA,-0.20023381182905947
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,0,B,22P,39,0,0,#08: amar,amar,80242,5580,14966,Regular,1,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,E,Regular stative with durante,Herencia,Producción,23,9386,-0.8306529027696138,-1.1697214828742948,-0.4536033661093184,-0.40119110293632987,1.2310062696614938,-0.7003830317666636,-0.39908062083710694,-0.6885598632760053,NA,-0.20023381182905947
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,0,B,36P,42,0,0,#02: tener,tener,8031798,2061773,1797701,Irregular,0,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,H,Irregular stative with entre,Herencia,Producción,23,-264072,-0.8306529027696138,-1.1697214828742948,-0.4536033661093184,-0.40119110293632987,1.2310062696614938,1.3507402251195486,-0.672830438757138,2.3645929053138333,NA,-0.20023381182905947
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,0,B,26P,44,1,1,#03: haber,haber,7679109,1017563,4153642,Irregular,0,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,F,Irregular stative with durante,Herencia,Producción,23,3136079,-0.8306529027696138,-1.1697214828742948,-0.4536033661093184,-0.40119110293632987,1.2310062696614938,1.2597632376786074,2.730948997758201,0.8140902761884568,NA,-0.20023381182905947
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,0,B,31P,47,0,0,#05: gustar,gustar,541858,94346,59408,Regular,1,DativeExp,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,G,Regular stative with entre,Herencia,Producción,23,-34938,-0.8306529027696138,-1.1697214828742948,-0.4536033661093184,-0.40119110293632987,1.2310062696614938,-0.5813080591008375,-0.4434519207423482,-0.5567550382150088,NA,-0.20023381182905947
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,0,B,21P,49,1,1,#08: amar,amar,65158,5580,14966,Regular,1,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,E,Regular stative with durante,Herencia,Producción,23,9386,-0.8306529027696138,-1.1697214828742948,-0.4536033661093184,-0.40119110293632987,1.2310062696614938,-0.7042739863429593,-0.39908062083710694,-0.6885598632760053,NA,-0.20023381182905947
HSP02,53,Female,Heritage,Simultaneous,20,2,0,0,0,32,3,38,Intermediate,Intermediate,12,13,0,B,40P,2,1,1,#03: haber,haber,7679109,1017563,4153642,Irregular,0,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,H,Irregular stative with entre,Herencia,Producción,25,3136079,-0.5191580642310085,-0.5316915831246793,-0.4536033661093184,-0.40119110293632987,0.0625935391353302,1.2597632376786074,2.730948997758201,0.8140902761884568,NA,-0.3177879087932822
HSP02,53,Female,Heritage,Simultaneous,20,2,0,0,0,32,3,38,Intermediate,Intermediate,12,13,0,B,30P,4,1,1,#06: creer,creer,537246,33274,70392,Irregular,0,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,F,Irregular stative with durante,Herencia,Producción,25,37118,-0.5191580642310085,-0.5316915831246793,-0.4536033661093184,-0.40119110293632987,0.0625935391353302,-0.5824977357453532,-0.37131902691570656,-0.6474382308352145,NA,-0.3177879087932822
HSP02,53,Female,Heritage,Simultaneous,20,2,0,0,0,32,3,38,Intermediate,Intermediate,12,13,0,B,35P,7,0,0,#09: doler,doler,69627,11678,6450,Irregular,0,DativeExp,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,G,Regular stative with entre,Herencia,Producción,25,-5228,-0.5191580642310085,-0.5316915831246793,-0.4536033661093184,-0.40119110293632987,0.0625935391353302,-0.7031211968970918,-0.41371021601839014,-0.679505204699276,NA,-0.3177879087932822
HSP02,53,Female,Heritage,Simultaneous,20,2,0,0,0,32,3,38,Intermediate,Intermediate,12,13,0,B,25P,9,1,1,#07: faltar,faltar,182742,66767,55352,Regular,1,DativeExp,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,E,Regular stative with durante,Herencia,Producción,25,-11415,-0.5191580642310085,-0.5316915831246793,-0.4536033661093184,-0.40119110293632987,0.0625935391353302,-0.6739429068614455,-0.41990381841243685,-0.5977059120896593,NA,-0.3177879087932822
HSP02,53,Female,Heritage,Simultaneous,20,2,0,0,0,32,3,38,Intermediate,Intermediate,12,13,0,B,39P,12,1,1,#01: estar,estar,10180830,1173419,2479642,Irregular,0,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,H,Irregular stative with entre,Herencia,Producción,25,1306223,-0.5191580642310085,-0.5316915831246793,-0.4536033661093184,-0.40119110293632987,0.0625935391353302,1.9050882690738,0.8991402855615335,1.0455141638786385,NA,-0.3177879087932822
HSP02,53,Female,Heritage,Simultaneous,20,2,0,0,0,32,3,38,Intermediate,Intermediate,12,13,0,B,29P,14,1,1,#02: tener,tener,8031798,2061773,1797701,Irregular,0,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,F,Irregular stative with durante,Herencia,Producción,25,-264072,-0.5191580642310085,-0.5316915831246793,-0.4536033661093184,-0.40119110293632987,0.0625935391353302,1.3507402251195486,-0.672830438757138,2.3645929053138333,NA,-0.3177879087932822
HSP02,53,Female,Heritage,Simultaneous,20,2,0,0,0,32,3,38,Intermediate,Intermediate,12,13,0,B,34P,17,1,1,#04: vivir,vivir,599425,225093,130040,Regular,1,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,G,Regular stative with entre,Herencia,Producción,25,-95053,-0.5191580642310085,-0.5316915831246793,-0.4536033661093184,-0.40119110293632987,0.0625935391353302,-0.5664585110967527,-0.503631071852437,-0.36261442737020205,NA,-0.3177879087932822
HSP02,53,Female,Heritage,Simultaneous,20,2,0,0,0,32,3,38,Intermediate,Intermediate,12,13,0,B,24P,19,1,1,#05: gustar,gustar,541858,94346,59408,Regular,1,DativeExp,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,E,Regular stative with durante,Herencia,Producción,25,-34938,-0.5191580642310085,-0.5316915831246793,-0.4536033661093184,-0.40119110293632987,0.0625935391353302,-0.5813080591008375,-0.4434519207423482,-0.5567550382150088,NA,-0.3177879087932822
HSP02,53,Female,Heritage,Simultaneous,20,2,0,0,0,32,3,38,Intermediate,Intermediate,12,13,0,B,38P,22,1,1,#06: creer,creer,537246,33274,70392,Irregular,0,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,H,Irregular stative with entre,Herencia,Producción,25,37118,-0.5191580642310085,-0.5316915831246793,-0.4536033661093184,-0.40119110293632987,0.0625935391353302,-0.5824977357453532,-0.37131902691570656,-0.6474382308352145,NA,-0.3177879087932822
HSP02,53,Female,Heritage,Simultaneous,20,2,0,0,0,32,3,38,Intermediate,Intermediate,12,13,0,B,28P,24,1,1,#10: excluir,excluir,53412,6569,1574,Irregular,0,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,F,Irregular stative with durante,Herencia,Producción,25,-4995,-0.5191580642310085,-0.5316915831246793,-0.4536033661093184,-0.40119110293632987,0.0625935391353302,-0.7073038956808784,-0.4134769673748128,-0.6870913396071983,NA,-0.3177879087932822
HSP02,53,Female,Heritage,Simultaneous,20,2,0,0,0,32,3,38,Intermediate,Intermediate,12,13,0,B,33P,27,1,1,#07: faltar,faltar,182742,66767,55352,Regular,1,DativeExp,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,G,Regular stative with entre,Herencia,Producción,25,-11415,-0.5191580642310085,-0.5316915831246793,-0.4536033661093184,-0.40119110293632987,0.0625935391353302,-0.6739429068614455,-0.41990381841243685,-0.5977059120896593,NA,-0.3177879087932822
HSP02,53,Female,Heritage,Simultaneous,20,2,0,0,0,32,3,38,Intermediate,Intermediate,12,13,0,B,23P,29,1,1,#04: vivir,vivir,599425,225093,130040,Regular,1,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,E,Regular stative with durante,Herencia,Producción,25,-95053,-0.5191580642310085,-0.5316915831246793,-0.4536033661093184,-0.40119110293632987,0.0625935391353302,-0.5664585110967527,-0.503631071852437,-0.36261442737020205,NA,-0.3177879087932822
HSP02,53,Female,Heritage,Simultaneous,20,2,0,0,0,32,3,38,Intermediate,Intermediate,12,13,0,B,37P,32,1,1,#10: excluir,excluir,53412,6569,1574,Irregular,0,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,H,Irregular stative with entre,Herencia,Producción,25,-4995,-0.5191580642310085,-0.5316915831246793,-0.4536033661093184,-0.40119110293632987,0.0625935391353302,-0.7073038956808784,-0.4134769673748128,-0.6870913396071983,NA,-0.3177879087932822
HSP02,53,Female,Heritage,Simultaneous,20,2,0,0,0,32,3,38,Intermediate,Intermediate,12,13,0,B,27P,34,1,1,#01: estar,estar,10180830,1173419,2479642,Irregular,0,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,F,Irregular stative with durante,Herencia,Producción,25,1306223,-0.5191580642310085,-0.5316915831246793,-0.4536033661093184,-0.40119110293632987,0.0625935391353302,1.9050882690738,0.8991402855615335,1.0455141638786385,NA,-0.3177879087932822
HSP02,53,Female,Heritage,Simultaneous,20,2,0,0,0,32,3,38,Intermediate,Intermediate,12,13,0,B,32P,37,1,1,#08: amar,amar,80242,5580,14966,Regular,1,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,G,Regular stative with entre,Herencia,Producción,25,9386,-0.5191580642310085,-0.5316915831246793,-0.4536033661093184,-0.40119110293632987,0.0625935391353302,-0.7003830317666636,-0.39908062083710694,-0.6885598632760053,NA,-0.3177879087932822
HSP02,53,Female,Heritage,Simultaneous,20,2,0,0,0,32,3,38,Intermediate,Intermediate,12,13,0,B,22P,39,1,1,#08: amar,amar,80242,5580,14966,Regular,1,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,E,Regular stative with durante,Herencia,Producción,25,9386,-0.5191580642310085,-0.5316915831246793,-0.4536033661093184,-0.40119110293632987,0.0625935391353302,-0.7003830317666636,-0.39908062083710694,-0.6885598632760053,NA,-0.3177879087932822
HSP02,53,Female,Heritage,Simultaneous,20,2,0,0,0,32,3,38,Intermediate,Intermediate,12,13,0,B,36P,42,1,1,#02: tener,tener,8031798,2061773,1797701,Irregular,0,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,H,Irregular stative with entre,Herencia,Producción,25,-264072,-0.5191580642310085,-0.5316915831246793,-0.4536033661093184,-0.40119110293632987,0.0625935391353302,1.3507402251195486,-0.672830438757138,2.3645929053138333,NA,-0.3177879087932822
HSP02,53,Female,Heritage,Simultaneous,20,2,0,0,0,32,3,38,Intermediate,Intermediate,12,13,0,B,26P,44,1,1,#03: haber,haber,7679109,1017563,4153642,Irregular,0,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,F,Irregular stative with durante,Herencia,Producción,25,3136079,-0.5191580642310085,-0.5316915831246793,-0.4536033661093184,-0.40119110293632987,0.0625935391353302,1.2597632376786074,2.730948997758201,0.8140902761884568,NA,-0.3177879087932822
HSP02,53,Female,Heritage,Simultaneous,20,2,0,0,0,32,3,38,Intermediate,Intermediate,12,13,0,B,31P,47,1,1,#05: gustar,gustar,541858,94346,59408,Regular,1,DativeExp,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,G,Regular stative with entre,Herencia,Producción,25,-34938,-0.5191580642310085,-0.5316915831246793,-0.4536033661093184,-0.40119110293632987,0.0625935391353302,-0.5813080591008375,-0.4434519207423482,-0.5567550382150088,NA,-0.3177879087932822
HSP02,53,Female,Heritage,Simultaneous,20,2,0,0,0,32,3,38,Intermediate,Intermediate,12,13,0,B,21P,49,1,1,#08: amar,amar,65158,5580,14966,Regular,1,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,E,Regular stative with durante,Herencia,Producción,25,9386,-0.5191580642310085,-0.5316915831246793,-0.4536033661093184,-0.40119110293632987,0.0625935391353302,-0.7042739863429593,-0.39908062083710694,-0.6885598632760053,NA,-0.3177879087932822
HSP04,23,Female,Heritage,Simultaneous,21,2,0,0,0.33,37,3,40,Advanced,Advanced,15,16,0,A,21P,2,0,0,#08: amar,amar,65158,5580,14966,Regular,1,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,E,Regular stative with durante,Herencia,Producción,31,9386,0.41532645138480717,0.4253532664997438,0.362882692887455,-0.40119110293632987,0.3964257478570913,-0.7042739863429593,-0.39908062083710694,-0.6885598632760053,NA,-0.16261650080050816
HSP04,23,Female,Heritage,Simultaneous,21,2,0,0,0.33,37,3,40,Advanced,Advanced,15,16,0,A,31P,5,1,1,#05: gustar,gustar,541858,94346,59408,Regular,1,DativeExp,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,G,Regular stative with entre,Herencia,Producción,31,-34938,0.41532645138480717,0.4253532664997438,0.362882692887455,-0.40119110293632987,0.3964257478570913,-0.5813080591008375,-0.4434519207423482,-0.5567550382150088,NA,-0.16261650080050816
HSP04,23,Female,Heritage,Simultaneous,21,2,0,0,0.33,37,3,40,Advanced,Advanced,15,16,0,A,26P,7,NA,NA,#03: haber,haber,7679109,1017563,4153642,Irregular,0,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,F,Irregular stative with durante,Herencia,Producción,31,3136079,0.41532645138480717,0.4253532664997438,0.362882692887455,-0.40119110293632987,0.3964257478570913,1.2597632376786074,2.730948997758201,0.8140902761884568,NA,-0.16261650080050816
HSP04,23,Female,Heritage,Simultaneous,21,2,0,0,0.33,37,3,40,Advanced,Advanced,15,16,0,A,36P,10,0,0,#02: tener,tener,8031798,2061773,1797701,Irregular,0,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,H,Irregular stative with entre,Herencia,Producción,31,-264072,0.41532645138480717,0.4253532664997438,0.362882692887455,-0.40119110293632987,0.3964257478570913,1.3507402251195486,-0.672830438757138,2.3645929053138333,NA,-0.16261650080050816
HSP04,23,Female,Heritage,Simultaneous,21,2,0,0,0.33,37,3,40,Advanced,Advanced,15,16,0,A,22P,12,0,0,#08: amar,amar,80242,5580,14966,Regular,1,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,E,Regular stative with durante,Herencia,Producción,31,9386,0.41532645138480717,0.4253532664997438,0.362882692887455,-0.40119110293632987,0.3964257478570913,-0.7003830317666636,-0.39908062083710694,-0.6885598632760053,NA,-0.16261650080050816
HSP04,23,Female,Heritage,Simultaneous,21,2,0,0,0.33,37,3,40,Advanced,Advanced,15,16,0,A,32P,15,0,0,#08: amar,amar,80242,5580,14966,Regular,1,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,G,Regular stative with entre,Herencia,Producción,31,9386,0.41532645138480717,0.4253532664997438,0.362882692887455,-0.40119110293632987,0.3964257478570913,-0.7003830317666636,-0.39908062083710694,-0.6885598632760053,NA,-0.16261650080050816
HSP04,23,Female,Heritage,Simultaneous,21,2,0,0,0.33,37,3,40,Advanced,Advanced,15,16,0,A,27P,17,1,NA,#01: estar,estar,10180830,1173419,2479642,Irregular,0,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,F,Irregular stative with durante,Herencia,Producción,31,1306223,0.41532645138480717,0.4253532664997438,0.362882692887455,-0.40119110293632987,0.3964257478570913,1.9050882690738,0.8991402855615335,1.0455141638786385,NA,-0.16261650080050816
HSP04,23,Female,Heritage,Simultaneous,21,2,0,0,0.33,37,3,40,Advanced,Advanced,15,16,0,A,37P,20,1,1,#10: excluir,excluir,53412,6569,1574,Irregular,0,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,H,Irregular stative with entre,Herencia,Producción,31,-4995,0.41532645138480717,0.4253532664997438,0.362882692887455,-0.40119110293632987,0.3964257478570913,-0.7073038956808784,-0.4134769673748128,-0.6870913396071983,NA,-0.16261650080050816
HSP04,23,Female,Heritage,Simultaneous,21,2,0,0,0.33,37,3,40,Advanced,Advanced,15,16,0,A,23P,22,0,0,#04: vivir,vivir,599425,225093,130040,Regular,1,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,E,Regular stative with durante,Herencia,Producción,31,-95053,0.41532645138480717,0.4253532664997438,0.362882692887455,-0.40119110293632987,0.3964257478570913,-0.5664585110967527,-0.503631071852437,-0.36261442737020205,NA,-0.16261650080050816
HSP04,23,Female,Heritage,Simultaneous,21,2,0,0,0.33,37,3,40,Advanced,Advanced,15,16,0,A,33P,25,1,1,#07: faltar,faltar,182742,66767,55352,Regular,1,DativeExp,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,G,Regular stative with entre,Herencia,Producción,31,-11415,0.41532645138480717,0.4253532664997438,0.362882692887455,-0.40119110293632987,0.3964257478570913,-0.6739429068614455,-0.41990381841243685,-0.5977059120896593,NA,-0.16261650080050816
HSP04,23,Female,Heritage,Simultaneous,21,2,0,0,0.33,37,3,40,Advanced,Advanced,15,16,0,A,28P,27,1,1,#10: excluir,excluir,53412,6569,1574,Irregular,0,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,F,Irregular stative with durante,Herencia,Producción,31,-4995,0.41532645138480717,0.4253532664997438,0.362882692887455,-0.40119110293632987,0.3964257478570913,-0.7073038956808784,-0.4134769673748128,-0.6870913396071983,NA,-0.16261650080050816
HSP04,23,Female,Heritage,Simultaneous,21,2,0,0,0.33,37,3,40,Advanced,Advanced,15,16,0,A,38P,30,1,1,#06: creer,creer,537246,33274,70392,Irregular,0,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,H,Irregular stative with entre,Herencia,Producción,31,37118,0.41532645138480717,0.4253532664997438,0.362882692887455,-0.40119110293632987,0.3964257478570913,-0.5824977357453532,-0.37131902691570656,-0.6474382308352145,NA,-0.16261650080050816
HSP04,23,Female,Heritage,Simultaneous,21,2,0,0,0.33,37,3,40,Advanced,Advanced,15,16,0,A,24P,32,0,0,#05: gustar,gustar,541858,94346,59408,Regular,1,DativeExp,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,E,Regular stative with durante,Herencia,Producción,31,-34938,0.41532645138480717,0.4253532664997438,0.362882692887455,-0.40119110293632987,0.3964257478570913,-0.5813080591008375,-0.4434519207423482,-0.5567550382150088,NA,-0.16261650080050816
