Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,Langs,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,ProfGroup,NativeRange,FofA_Prod,FofA_Comp,BLE,Battery,Item,Seq_Item,Response,Response_Freq,MainVerb,VerbList,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Reg_Main,Reg_Numerical,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Task,Modality,MV_Class,SV_Class,Condition,Verb_Condition,Grupo,Tarea,FofA,Token_Differential,FofA_Std,FofA_Prod_Std,FofA_Comp_Std,AoA_ENG_Std,DELE_Std,Token_Main_Std,Token_Differential_Std,Token_Pret_Std,Token_Sub_Std,LOR_Std
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,0,A,20P,48,1,1,#08: ordenar,ordenar,65158,NA,NA,Regular,1,Canonical,#08: bailar,29935,Mood,Subjunctive,EMPT,Production,Infrequent,Infrequent,D,[–F/–F],Herencia,Producción,42,NA,0.5460431474148314,0.5545023279301066,0.3899543328711608,0.5619714820950852,-0.4411285972800153,-1.1057370444265846,NA,NA,-0.9973326656148889,0.08403449353992176
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,0,B,20P,3,1,1,#08: ordenar,ordenar,65158,NA,NA,Regular,1,Canonical,#08: bailar,29935,Mood,Subjunctive,EMPT,Production,Infrequent,Infrequent,D,[–F/–F],Herencia,Producción,42,NA,0.5460431474148314,0.5545023279301066,0.3899543328711608,-1.0621261011597107,0.30879001809601336,-1.1057370444265846,NA,NA,-0.9973326656148889,-0.5508927909839296
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,0,B,14P,18,1,1,#08: ordenar,ordenar,65158,NA,NA,Regular,1,Canonical,#04: tratar,590952,Mood,Subjunctive,EMPT,Production,Infrequent,Frequent,C,[–F/+F],Herencia,Producción,42,NA,0.5460431474148314,0.5545023279301066,0.3899543328711608,-1.0621261011597107,0.30879001809601336,-1.1057370444265846,NA,NA,0.7290818316151374,-0.5508927909839296
SBC03,8,Female,Comparison,Comparison,55,2,0,15,34,40,10,49,Advanced,Native Range,16,16,0,B,20P,3,1,1,#08: ordenar,ordenar,65158,NA,NA,Regular,1,Canonical,#08: bailar,29935,Mood,Subjunctive,EMPT,Production,Infrequent,Infrequent,D,[–F/–F],Herencia,Producción,32,NA,-0.8820696996701133,-0.5677047643093955,-1.0511812451309566,0.0842957223142628,1.058708633472042,-1.1057370444265846,NA,NA,-0.9973326656148889,1.3538890625876245
SBC03,8,Female,Comparison,Comparison,55,2,0,15,34,40,10,49,Advanced,Native Range,16,16,0,B,14P,18,1,1,#08: ordenar,ordenar,65158,NA,NA,Regular,1,Canonical,#04: tratar,590952,Mood,Subjunctive,EMPT,Production,Infrequent,Frequent,C,[–F/+F],Herencia,Producción,32,NA,-0.8820696996701133,-0.5677047643093955,-1.0511812451309566,0.0842957223142628,1.058708633472042,-1.1057370444265846,NA,NA,0.7290818316151374,1.3538890625876245
SBC04,5,Female,Comparison,Comparison,30,2,0,10,28,40,10,50,Advanced,Native Range,25,23,0,A,14P,33,1,1,#08: ordenar,ordenar,65158,NA,NA,Regular,1,Canonical,#04: tratar,590952,Mood,Subjunctive,EMPT,Production,Infrequent,Frequent,C,[–F/+F],Herencia,Producción,48,NA,1.402910855665798,1.4522680017217082,0.9664085640720078,-0.39338003746655953,1.8086272488480706,-1.1057370444265846,NA,NA,0.7290818316151374,0.40149813580184746
SBC04,5,Female,Comparison,Comparison,30,2,0,10,28,40,10,50,Advanced,Native Range,25,23,0,A,20P,48,1,1,#08: ordenar,ordenar,65158,NA,NA,Regular,1,Canonical,#08: bailar,29935,Mood,Subjunctive,EMPT,Production,Infrequent,Infrequent,D,[–F/–F],Herencia,Producción,48,NA,1.402910855665798,1.4522680017217082,0.9664085640720078,-0.39338003746655953,1.8086272488480706,-1.1057370444265846,NA,NA,-0.9973326656148889,0.40149813580184746
SBC05,13,Female,Comparison,Comparison,41,2,0,39,39,40,10,45,Advanced,Native Range,8,24,0,B,20P,3,1,1,#08: ordenar,ordenar,65158,NA,NA,Regular,1,Canonical,#08: bailar,29935,Mood,Subjunctive,EMPT,Production,Infrequent,Infrequent,D,[–F/–F],Herencia,Producción,32,NA,-0.8820696996701133,-2.363236111892599,1.2546356796724312,2.3771393692622103,-1.9409658280320725,-1.1057370444265846,NA,NA,-0.9973326656148889,2.1475481682424387
SBC05,13,Female,Comparison,Comparison,41,2,0,39,39,40,10,45,Advanced,Native Range,8,24,0,B,14P,18,1,1,#08: ordenar,ordenar,65158,NA,NA,Regular,1,Canonical,#04: tratar,590952,Mood,Subjunctive,EMPT,Production,Infrequent,Frequent,C,[–F/+F],Herencia,Producción,32,NA,-0.8820696996701133,-2.363236111892599,1.2546356796724312,2.3771393692622103,-1.9409658280320725,-1.1057370444265846,NA,NA,0.7290818316151374,2.1475481682424387
SBC08,59,Female,Comparison,Comparison,45,2,0,18,18,40,10,47,Advanced,Native Range,13,13,0,A,14P,33,1,1,#08: ordenar,ordenar,65158,NA,NA,Regular,1,Canonical,#04: tratar,590952,Mood,Subjunctive,EMPT,Production,Infrequent,Frequent,C,[–F/+F],Herencia,Producción,26,NA,-1.73893740792108,-1.2410290196530969,-1.915862591932227,0.3709011781827562,-0.4411285972800153,-1.1057370444265846,NA,NA,0.7290818316151374,-1.185820075507781
SBC08,59,Female,Comparison,Comparison,45,2,0,18,18,40,10,47,Advanced,Native Range,13,13,0,A,20P,48,1,1,#08: ordenar,ordenar,65158,NA,NA,Regular,1,Canonical,#08: bailar,29935,Mood,Subjunctive,EMPT,Production,Infrequent,Infrequent,D,[–F/–F],Herencia,Producción,26,NA,-1.73893740792108,-1.2410290196530969,-1.915862591932227,0.3709011781827562,-0.4411285972800153,-1.1057370444265846,NA,NA,-0.9973326656148889,-1.185820075507781
SBC09,61,Female,Comparison,Comparison,48,2,0,16,21,40,10,47,Advanced,Native Range,14,14,0,A,14P,33,1,1,#08: ordenar,ordenar,65158,NA,NA,Regular,1,Canonical,#04: tratar,590952,Mood,Subjunctive,EMPT,Production,Infrequent,Frequent,C,[–F/+F],Herencia,Producción,28,NA,-1.453314838504091,-1.0165876012051964,-1.6276354763318035,0.17983087427042727,-0.4411285972800153,-1.1057370444265846,NA,NA,0.7290818316151374,-0.7096246121148925
SBC09,61,Female,Comparison,Comparison,48,2,0,16,21,40,10,47,Advanced,Native Range,14,14,0,A,20P,48,1,1,#08: ordenar,ordenar,65158,NA,NA,Regular,1,Canonical,#08: bailar,29935,Mood,Subjunctive,EMPT,Production,Infrequent,Infrequent,D,[–F/–F],Herencia,Producción,28,NA,-1.453314838504091,-1.0165876012051964,-1.6276354763318035,0.17983087427042727,-0.4411285972800153,-1.1057370444265846,NA,NA,-0.9973326656148889,-0.7096246121148925
SBC10,64,Female,Comparison,Comparison,50,2,0,28,28,40,10,47,Advanced,Native Range,22,22,0,B,20P,3,1,1,#08: ordenar,ordenar,65158,NA,NA,Regular,1,Canonical,#08: bailar,29935,Mood,Subjunctive,EMPT,Production,Infrequent,Infrequent,D,[–F/–F],Herencia,Producción,44,NA,0.8316657168318203,0.778943746378007,0.6781814484715843,1.326252697744401,-0.4411285972800153,-1.1057370444265846,NA,NA,-0.9973326656148889,0.40149813580184746
SBC10,64,Female,Comparison,Comparison,50,2,0,28,28,40,10,47,Advanced,Native Range,22,22,0,B,14P,18,1,1,#08: ordenar,ordenar,65158,NA,NA,Regular,1,Canonical,#04: tratar,590952,Mood,Subjunctive,EMPT,Production,Infrequent,Frequent,C,[–F/+F],Herencia,Producción,44,NA,0.8316657168318203,0.778943746378007,0.6781814484715843,1.326252697744401,-0.4411285972800153,-1.1057370444265846,NA,NA,0.7290818316151374,0.40149813580184746
SBC11,79,Female,Comparison,Comparison,51,2,0,32,32,40,10,47,Advanced,Native Range,23,23,0,A,14P,33,1,1,#08: ordenar,ordenar,65158,NA,NA,Regular,1,Canonical,#04: tratar,590952,Mood,Subjunctive,EMPT,Production,Infrequent,Frequent,C,[–F/+F],Herencia,Producción,46,NA,1.1172882862488092,1.0033851648259073,0.9664085640720078,1.7083933055690588,-0.4411285972800153,-1.1057370444265846,NA,NA,0.7290818316151374,1.0364254203256988
SBC11,79,Female,Comparison,Comparison,51,2,0,32,32,40,10,47,Advanced,Native Range,23,23,0,A,20P,48,1,1,#08: ordenar,ordenar,65158,NA,NA,Regular,1,Canonical,#08: bailar,29935,Mood,Subjunctive,EMPT,Production,Infrequent,Infrequent,D,[–F/–F],Herencia,Producción,46,NA,1.1172882862488092,1.0033851648259073,0.9664085640720078,1.7083933055690588,-0.4411285972800153,-1.1057370444265846,NA,NA,-0.9973326656148889,1.0364254203256988
SBC13,101,Female,Comparison,Comparison,23,2,0,5,20,40,5,49,Advanced,Native Range,17,20,0,B,20P,3,1,1,#08: ordenar,ordenar,65158,NA,NA,Regular,1,Canonical,#08: bailar,29935,Mood,Subjunctive,EMPT,Production,Infrequent,Infrequent,D,[–F/–F],Herencia,Producción,37,NA,-0.16801327612764097,-0.34326334586149515,0.10172721727073733,-0.8710557972473819,1.058708633472042,-1.1057370444265846,NA,NA,-0.9973326656148889,-0.8683564332458552
SBC13,101,Female,Comparison,Comparison,23,2,0,5,20,40,5,49,Advanced,Native Range,17,20,0,B,14P,18,0,NA,#08: ordenar,ordenar,65158,NA,NA,Regular,1,Canonical,#04: tratar,590952,Mood,Subjunctive,EMPT,Production,Infrequent,Frequent,C,[–F/+F],Herencia,Producción,37,NA,-0.16801327612764097,-0.34326334586149515,0.10172721727073733,-0.8710557972473819,1.058708633472042,-1.1057370444265846,NA,NA,0.7290818316151374,-0.8683564332458552
SBC14,22,Female,Comparison,Comparison,43,4,0,12,33,40,10,48,Advanced,Native Range,18,18,0,A,14P,33,1,1,#08: ordenar,ordenar,65158,NA,NA,Regular,1,Canonical,#04: tratar,590952,Mood,Subjunctive,EMPT,Production,Infrequent,Frequent,C,[–F/+F],Herencia,Producción,36,NA,-0.3108245608361354,-0.11882192741359472,-0.47472701393010963,-0.2023097335542306,0.30879001809601336,-1.1057370444265846,NA,NA,0.7290818316151374,1.1951572414566616
SBC14,22,Female,Comparison,Comparison,43,4,0,12,33,40,10,48,Advanced,Native Range,18,18,0,A,20P,48,1,1,#08: ordenar,ordenar,65158,NA,NA,Regular,1,Canonical,#08: bailar,29935,Mood,Subjunctive,EMPT,Production,Infrequent,Infrequent,D,[–F/–F],Herencia,Producción,36,NA,-0.3108245608361354,-0.11882192741359472,-0.47472701393010963,-0.2023097335542306,0.30879001809601336,-1.1057370444265846,NA,NA,-0.9973326656148889,1.1951572414566616
SBC15,107,Female,Comparison,Comparison,21,2,0,8,16,40,10,46,Advanced,Native Range,20,21,0,B,20P,3,1,1,#08: ordenar,ordenar,65158,NA,NA,Regular,1,Canonical,#08: bailar,29935,Mood,Subjunctive,EMPT,Production,Infrequent,Infrequent,D,[–F/–F],Herencia,Producción,41,NA,0.4032318627063369,0.3300609094822061,0.3899543328711608,-0.5844503413788885,-1.1910472126560439,-1.1057370444265846,NA,NA,-0.9973326656148889,-1.5032837177697067
SBC15,107,Female,Comparison,Comparison,21,2,0,8,16,40,10,46,Advanced,Native Range,20,21,0,B,14P,18,0,NA,#08: ordenar,ordenar,65158,NA,NA,Regular,1,Canonical,#04: tratar,590952,Mood,Subjunctive,EMPT,Production,Infrequent,Frequent,C,[–F/+F],Herencia,Producción,41,NA,0.4032318627063369,0.3300609094822061,0.3899543328711608,-0.5844503413788885,-1.1910472126560439,-1.1057370444265846,NA,NA,0.7290818316151374,-1.5032837177697067
SBC16,120,Male,Comparison,Comparison,23,3,0,3,22,40,7,50,Advanced,Native Range,20,20,0,A,14P,33,1,1,#08: ordenar,ordenar,65158,NA,NA,Regular,1,Canonical,#04: tratar,590952,Mood,Subjunctive,EMPT,Production,Infrequent,Frequent,C,[–F/+F],Herencia,Producción,40,NA,0.2604205779978424,0.3300609094822061,0.10172721727073733,-1.0621261011597107,1.8086272488480706,-1.1057370444265846,NA,NA,0.7290818316151374,-0.5508927909839296
SBC16,120,Male,Comparison,Comparison,23,3,0,3,22,40,7,50,Advanced,Native Range,20,20,0,A,20P,48,1,1,#08: ordenar,ordenar,65158,NA,NA,Regular,1,Canonical,#08: bailar,29935,Mood,Subjunctive,EMPT,Production,Infrequent,Infrequent,D,[–F/–F],Herencia,Producción,40,NA,0.2604205779978424,0.3300609094822061,0.10172721727073733,-1.0621261011597107,1.8086272488480706,-1.1057370444265846,NA,NA,-0.9973326656148889,-0.5508927909839296
SBC17,121,Male,Comparison,Comparison,25,2,0,17,20,40,6,47,Advanced,Native Range,21,21,0,B,20P,3,1,1,#08: ordenar,ordenar,65158,NA,NA,Regular,1,Canonical,#08: bailar,29935,Mood,Subjunctive,EMPT,Production,Infrequent,Infrequent,D,[–F/–F],Herencia,Producción,42,NA,0.5460431474148314,0.5545023279301066,0.3899543328711608,0.27536602622659173,-0.4411285972800153,-1.1057370444265846,NA,NA,-0.9973326656148889,-0.8683564332458552
SBC17,121,Male,Comparison,Comparison,25,2,0,17,20,40,6,47,Advanced,Native Range,21,21,0,B,14P,18,1,1,#08: ordenar,ordenar,65158,NA,NA,Regular,1,Canonical,#04: tratar,590952,Mood,Subjunctive,EMPT,Production,Infrequent,Frequent,C,[–F/+F],Herencia,Producción,42,NA,0.5460431474148314,0.5545023279301066,0.3899543328711608,0.27536602622659173,-0.4411285972800153,-1.1057370444265846,NA,NA,0.7290818316151374,-0.8683564332458552
SBC18,122,Female,Comparison,Comparison,55,2,0,6,29,40,10,46,Advanced,Native Range,12,13,0,A,14P,33,1,1,#08: ordenar,ordenar,65158,NA,NA,Regular,1,Canonical,#04: tratar,590952,Mood,Subjunctive,EMPT,Production,Infrequent,Frequent,C,[–F/+F],Herencia,Producción,25,NA,-1.8817486926295746,-1.4654704381009973,-1.915862591932227,-0.7755206452912174,-1.1910472126560439,-1.1057370444265846,NA,NA,0.7290818316151374,0.5602299569328103
SBC18,122,Female,Comparison,Comparison,55,2,0,6,29,40,10,46,Advanced,Native Range,12,13,0,A,20P,48,1,1,#08: ordenar,ordenar,65158,NA,NA,Regular,1,Canonical,#08: bailar,29935,Mood,Subjunctive,EMPT,Production,Infrequent,Infrequent,D,[–F/–F],Herencia,Producción,25,NA,-1.8817486926295746,-1.4654704381009973,-1.915862591932227,-0.7755206452912174,-1.1910472126560439,-1.1057370444265846,NA,NA,-0.9973326656148889,0.5602299569328103
SBC19,124,Female,Comparison,Comparison,26,3,2,5,26,40,10,48,Advanced,Native Range,21,21,0,B,20P,3,1,1,#08: ordenar,ordenar,65158,NA,NA,Regular,1,Canonical,#08: bailar,29935,Mood,Subjunctive,EMPT,Production,Infrequent,Infrequent,D,[–F/–F],Herencia,Producción,42,NA,0.5460431474148314,0.5545023279301066,0.3899543328711608,-0.8710557972473819,0.30879001809601336,-1.1057370444265846,NA,NA,-0.9973326656148889,0.08403449353992176
SBC19,124,Female,Comparison,Comparison,26,3,2,5,26,40,10,48,Advanced,Native Range,21,21,0,B,14P,18,1,1,#08: ordenar,ordenar,65158,NA,NA,Regular,1,Canonical,#04: tratar,590952,Mood,Subjunctive,EMPT,Production,Infrequent,Frequent,C,[–F/+F],Herencia,Producción,42,NA,0.5460431474148314,0.5545023279301066,0.3899543328711608,-0.8710557972473819,0.30879001809601336,-1.1057370444265846,NA,NA,0.7290818316151374,0.08403449353992176
SBC20,126,Male,Comparison,Comparison,34,3,0,3,19,40,40,48,Advanced,Native Range,23,23,0,A,14P,33,1,1,#08: ordenar,ordenar,65158,NA,NA,Regular,1,Canonical,#04: tratar,590952,Mood,Subjunctive,EMPT,Production,Infrequent,Frequent,C,[–F/+F],Herencia,Producción,46,NA,1.1172882862488092,1.0033851648259073,0.9664085640720078,-1.0621261011597107,0.30879001809601336,-1.1057370444265846,NA,NA,0.7290818316151374,-1.027088254376818
SBC20,126,Male,Comparison,Comparison,34,3,0,3,19,40,40,48,Advanced,Native Range,23,23,0,A,20P,48,1,1,#08: ordenar,ordenar,65158,NA,NA,Regular,1,Canonical,#08: bailar,29935,Mood,Subjunctive,EMPT,Production,Infrequent,Infrequent,D,[–F/–F],Herencia,Producción,46,NA,1.1172882862488092,1.0033851648259073,0.9664085640720078,-1.0621261011597107,0.30879001809601336,-1.1057370444265846,NA,NA,-0.9973326656148889,-1.027088254376818
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,0,A,2P,11,1,1,#05: pedir,pedir,432187,NA,NA,Irregular,0,Canonical,#01: quedar,947469,Mood,Subjunctive,EMPT,Production,Frequent,Frequent,A,[+F/+F],Herencia,Producción,42,NA,0.5460431474148314,0.5545023279301066,0.3899543328711608,0.5619714820950852,-0.4411285972800153,-0.3705308963335847,NA,NA,1.8261896149959569,0.08403449353992176
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,0,A,7P,16,1,1,#05: pedir,pedir,432187,NA,NA,Irregular,0,Canonical,#08: bailar,29935,Mood,Subjunctive,EMPT,Production,Frequent,Infrequent,B,[+F/–F],Herencia,Producción,42,NA,0.5460431474148314,0.5545023279301066,0.3899543328711608,0.5619714820950852,-0.4411285972800153,-0.3705308963335847,NA,NA,-0.9973326656148889,0.08403449353992176
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,0,B,7P,35,1,1,#05: pedir,pedir,432187,NA,NA,Irregular,0,Canonical,#08: bailar,29935,Mood,Subjunctive,EMPT,Production,Frequent,Infrequent,B,[+F/–F],Herencia,Producción,42,NA,0.5460431474148314,0.5545023279301066,0.3899543328711608,-1.0621261011597107,0.30879001809601336,-0.3705308963335847,NA,NA,-0.9973326656148889,-0.5508927909839296
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,0,B,2P,40,1,1,#05: pedir,pedir,432187,NA,NA,Irregular,0,Canonical,#01: quedar,947469,Mood,Subjunctive,EMPT,Production,Frequent,Frequent,A,[+F/+F],Herencia,Producción,42,NA,0.5460431474148314,0.5545023279301066,0.3899543328711608,-1.0621261011597107,0.30879001809601336,-0.3705308963335847,NA,NA,1.8261896149959569,-0.5508927909839296
SBC03,8,Female,Comparison,Comparison,55,2,0,15,34,40,10,49,Advanced,Native Range,16,16,0,B,7P,35,1,1,#05: pedir,pedir,432187,NA,NA,Irregular,0,Canonical,#08: bailar,29935,Mood,Subjunctive,EMPT,Production,Frequent,Infrequent,B,[+F/–F],Herencia,Producción,32,NA,-0.8820696996701133,-0.5677047643093955,-1.0511812451309566,0.0842957223142628,1.058708633472042,-0.3705308963335847,NA,NA,-0.9973326656148889,1.3538890625876245
SBC03,8,Female,Comparison,Comparison,55,2,0,15,34,40,10,49,Advanced,Native Range,16,16,0,B,2P,40,1,1,#05: pedir,pedir,432187,NA,NA,Irregular,0,Canonical,#01: quedar,947469,Mood,Subjunctive,EMPT,Production,Frequent,Frequent,A,[+F/+F],Herencia,Producción,32,NA,-0.8820696996701133,-0.5677047643093955,-1.0511812451309566,0.0842957223142628,1.058708633472042,-0.3705308963335847,NA,NA,1.8261896149959569,1.3538890625876245
SBC04,5,Female,Comparison,Comparison,30,2,0,10,28,40,10,50,Advanced,Native Range,25,23,0,A,2P,11,1,1,#05: pedir,pedir,432187,NA,NA,Irregular,0,Canonical,#01: quedar,947469,Mood,Subjunctive,EMPT,Production,Frequent,Frequent,A,[+F/+F],Herencia,Producción,48,NA,1.402910855665798,1.4522680017217082,0.9664085640720078,-0.39338003746655953,1.8086272488480706,-0.3705308963335847,NA,NA,1.8261896149959569,0.40149813580184746
SBC04,5,Female,Comparison,Comparison,30,2,0,10,28,40,10,50,Advanced,Native Range,25,23,0,A,7P,16,1,1,#05: pedir,pedir,432187,NA,NA,Irregular,0,Canonical,#08: bailar,29935,Mood,Subjunctive,EMPT,Production,Frequent,Infrequent,B,[+F/–F],Herencia,Producción,48,NA,1.402910855665798,1.4522680017217082,0.9664085640720078,-0.39338003746655953,1.8086272488480706,-0.3705308963335847,NA,NA,-0.9973326656148889,0.40149813580184746
SBC05,13,Female,Comparison,Comparison,41,2,0,39,39,40,10,45,Advanced,Native Range,8,24,0,B,7P,35,1,1,#05: pedir,pedir,432187,NA,NA,Irregular,0,Canonical,#08: bailar,29935,Mood,Subjunctive,EMPT,Production,Frequent,Infrequent,B,[+F/–F],Herencia,Producción,32,NA,-0.8820696996701133,-2.363236111892599,1.2546356796724312,2.3771393692622103,-1.9409658280320725,-0.3705308963335847,NA,NA,-0.9973326656148889,2.1475481682424387
SBC05,13,Female,Comparison,Comparison,41,2,0,39,39,40,10,45,Advanced,Native Range,8,24,0,B,2P,40,1,1,#05: pedir,pedir,432187,NA,NA,Irregular,0,Canonical,#01: quedar,947469,Mood,Subjunctive,EMPT,Production,Frequent,Frequent,A,[+F/+F],Herencia,Producción,32,NA,-0.8820696996701133,-2.363236111892599,1.2546356796724312,2.3771393692622103,-1.9409658280320725,-0.3705308963335847,NA,NA,1.8261896149959569,2.1475481682424387
SBC08,59,Female,Comparison,Comparison,45,2,0,18,18,40,10,47,Advanced,Native Range,13,13,0,A,2P,11,1,1,#05: pedir,pedir,432187,NA,NA,Irregular,0,Canonical,#01: quedar,947469,Mood,Subjunctive,EMPT,Production,Frequent,Frequent,A,[+F/+F],Herencia,Producción,26,NA,-1.73893740792108,-1.2410290196530969,-1.915862591932227,0.3709011781827562,-0.4411285972800153,-0.3705308963335847,NA,NA,1.8261896149959569,-1.185820075507781
SBC08,59,Female,Comparison,Comparison,45,2,0,18,18,40,10,47,Advanced,Native Range,13,13,0,A,7P,16,1,1,#05: pedir,pedir,432187,NA,NA,Irregular,0,Canonical,#08: bailar,29935,Mood,Subjunctive,EMPT,Production,Frequent,Infrequent,B,[+F/–F],Herencia,Producción,26,NA,-1.73893740792108,-1.2410290196530969,-1.915862591932227,0.3709011781827562,-0.4411285972800153,-0.3705308963335847,NA,NA,-0.9973326656148889,-1.185820075507781
SBC09,61,Female,Comparison,Comparison,48,2,0,16,21,40,10,47,Advanced,Native Range,14,14,0,A,2P,11,1,1,#05: pedir,pedir,432187,NA,NA,Irregular,0,Canonical,#01: quedar,947469,Mood,Subjunctive,EMPT,Production,Frequent,Frequent,A,[+F/+F],Herencia,Producción,28,NA,-1.453314838504091,-1.0165876012051964,-1.6276354763318035,0.17983087427042727,-0.4411285972800153,-0.3705308963335847,NA,NA,1.8261896149959569,-0.7096246121148925
SBC09,61,Female,Comparison,Comparison,48,2,0,16,21,40,10,47,Advanced,Native Range,14,14,0,A,7P,16,1,1,#05: pedir,pedir,432187,NA,NA,Irregular,0,Canonical,#08: bailar,29935,Mood,Subjunctive,EMPT,Production,Frequent,Infrequent,B,[+F/–F],Herencia,Producción,28,NA,-1.453314838504091,-1.0165876012051964,-1.6276354763318035,0.17983087427042727,-0.4411285972800153,-0.3705308963335847,NA,NA,-0.9973326656148889,-0.7096246121148925
SBC10,64,Female,Comparison,Comparison,50,2,0,28,28,40,10,47,Advanced,Native Range,22,22,0,B,7P,35,1,1,#05: pedir,pedir,432187,NA,NA,Irregular,0,Canonical,#08: bailar,29935,Mood,Subjunctive,EMPT,Production,Frequent,Infrequent,B,[+F/–F],Herencia,Producción,44,NA,0.8316657168318203,0.778943746378007,0.6781814484715843,1.326252697744401,-0.4411285972800153,-0.3705308963335847,NA,NA,-0.9973326656148889,0.40149813580184746
SBC10,64,Female,Comparison,Comparison,50,2,0,28,28,40,10,47,Advanced,Native Range,22,22,0,B,2P,40,1,1,#05: pedir,pedir,432187,NA,NA,Irregular,0,Canonical,#01: quedar,947469,Mood,Subjunctive,EMPT,Production,Frequent,Frequent,A,[+F/+F],Herencia,Producción,44,NA,0.8316657168318203,0.778943746378007,0.6781814484715843,1.326252697744401,-0.4411285972800153,-0.3705308963335847,NA,NA,1.8261896149959569,0.40149813580184746
SBC11,79,Female,Comparison,Comparison,51,2,0,32,32,40,10,47,Advanced,Native Range,23,23,0,A,2P,11,1,1,#05: pedir,pedir,432187,NA,NA,Irregular,0,Canonical,#01: quedar,947469,Mood,Subjunctive,EMPT,Production,Frequent,Frequent,A,[+F/+F],Herencia,Producción,46,NA,1.1172882862488092,1.0033851648259073,0.9664085640720078,1.7083933055690588,-0.4411285972800153,-0.3705308963335847,NA,NA,1.8261896149959569,1.0364254203256988
SBC11,79,Female,Comparison,Comparison,51,2,0,32,32,40,10,47,Advanced,Native Range,23,23,0,A,7P,16,1,1,#05: pedir,pedir,432187,NA,NA,Irregular,0,Canonical,#08: bailar,29935,Mood,Subjunctive,EMPT,Production,Frequent,Infrequent,B,[+F/–F],Herencia,Producción,46,NA,1.1172882862488092,1.0033851648259073,0.9664085640720078,1.7083933055690588,-0.4411285972800153,-0.3705308963335847,NA,NA,-0.9973326656148889,1.0364254203256988
SBC13,101,Female,Comparison,Comparison,23,2,0,5,20,40,5,49,Advanced,Native Range,17,20,0,B,7P,35,1,1,#05: pedir,pedir,432187,NA,NA,Irregular,0,Canonical,#08: bailar,29935,Mood,Subjunctive,EMPT,Production,Frequent,Infrequent,B,[+F/–F],Herencia,Producción,37,NA,-0.16801327612764097,-0.34326334586149515,0.10172721727073733,-0.8710557972473819,1.058708633472042,-0.3705308963335847,NA,NA,-0.9973326656148889,-0.8683564332458552
SBC13,101,Female,Comparison,Comparison,23,2,0,5,20,40,5,49,Advanced,Native Range,17,20,0,B,2P,40,1,1,#05: pedir,pedir,432187,NA,NA,Irregular,0,Canonical,#01: quedar,947469,Mood,Subjunctive,EMPT,Production,Frequent,Frequent,A,[+F/+F],Herencia,Producción,37,NA,-0.16801327612764097,-0.34326334586149515,0.10172721727073733,-0.8710557972473819,1.058708633472042,-0.3705308963335847,NA,NA,1.8261896149959569,-0.8683564332458552
SBC14,22,Female,Comparison,Comparison,43,4,0,12,33,40,10,48,Advanced,Native Range,18,18,0,A,2P,11,1,1,#05: pedir,pedir,432187,NA,NA,Irregular,0,Canonical,#01: quedar,947469,Mood,Subjunctive,EMPT,Production,Frequent,Frequent,A,[+F/+F],Herencia,Producción,36,NA,-0.3108245608361354,-0.11882192741359472,-0.47472701393010963,-0.2023097335542306,0.30879001809601336,-0.3705308963335847,NA,NA,1.8261896149959569,1.1951572414566616
SBC14,22,Female,Comparison,Comparison,43,4,0,12,33,40,10,48,Advanced,Native Range,18,18,0,A,7P,16,1,1,#05: pedir,pedir,432187,NA,NA,Irregular,0,Canonical,#08: bailar,29935,Mood,Subjunctive,EMPT,Production,Frequent,Infrequent,B,[+F/–F],Herencia,Producción,36,NA,-0.3108245608361354,-0.11882192741359472,-0.47472701393010963,-0.2023097335542306,0.30879001809601336,-0.3705308963335847,NA,NA,-0.9973326656148889,1.1951572414566616
SBC15,107,Female,Comparison,Comparison,21,2,0,8,16,40,10,46,Advanced,Native Range,20,21,0,B,7P,35,1,1,#05: pedir,pedir,432187,NA,NA,Irregular,0,Canonical,#08: bailar,29935,Mood,Subjunctive,EMPT,Production,Frequent,Infrequent,B,[+F/–F],Herencia,Producción,41,NA,0.4032318627063369,0.3300609094822061,0.3899543328711608,-0.5844503413788885,-1.1910472126560439,-0.3705308963335847,NA,NA,-0.9973326656148889,-1.5032837177697067
