Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,Langs,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,ProfGroup,NativeRange,FofA_Prod,FofA_Comp,BLE,Battery,Item,Seq_Item,Response,MainVerb,VerbList,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Reg_Main,Reg_Numerical,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Task,Modality,MV_Class,SV_Class,Condition,Verb_Condition,Grupo,Tarea,FofA,Token_Differential,FofA_Std,FofA_Prod_Std,FofA_Comp_Std,AoA_ENG_Std,DELE_Std,Token_Main_Std,Token_Differential_Std,Token_Pret_Std,Token_Sub_Std,LOR_Std
HSP06,3,Female,Heritage,Simultaneous,26,3,0,0,0,33,3,49,Advanced,Native Range,20,20,0,A,46P,9,1,#09: doler,doler,69627,11678,6450,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EAPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,40,-5228,1.4919590912970295,1.5597545646218172,1.3471862502915484,-1.073254952101055,1.7092284490986265,-0.9795413888238398,0.6043220475731008,-0.8659208640786854,NA,-0.48209839765118645
HSP06,3,Female,Heritage,Simultaneous,26,3,0,0,0,33,3,49,Advanced,Native Range,20,20,0,A,47P,19,1,#04: vivir,vivir,599425,225093,130040,Regular,1,Canonical,NA,NA,Aspect,Imperfect,EAPT,Production,Frequent,NA,J,Regular imperfect filler,Herencia,Producción,40,-95053,1.4919590912970295,1.5597545646218172,1.3471862502915484,-1.073254952101055,1.7092284490986265,1.3253883017941908,-1.8384916077556686,1.8117729234473618,NA,-0.48209839765118645
HSP06,3,Female,Heritage,Simultaneous,26,3,0,0,0,33,3,49,Advanced,Native Range,20,20,0,A,48P,29,1,#07: faltar,faltar,182742,66767,55352,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EAPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,40,-11415,1.4919590912970295,1.5597545646218172,1.3471862502915484,-1.073254952101055,1.7092284490986265,-0.48742529560669184,0.43606501350108196,-0.17472543235634905,NA,-0.48209839765118645
HSP06,3,Female,Heritage,Simultaneous,26,3,0,0,0,33,3,49,Advanced,Native Range,20,20,0,A,49P,39,1,#05: gustar,gustar,541858,94346,59408,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EAPT,Production,Frequent,NA,J,Regular imperfect filler,Herencia,Producción,40,-34938,1.4919590912970295,1.5597545646218172,1.3471862502915484,-1.073254952101055,1.7092284490986265,1.0749383425648087,-0.2036489371173277,0.17130515108989816,NA,-0.48209839765118645
HSP06,3,Female,Heritage,Simultaneous,26,3,0,0,0,33,3,49,Advanced,Native Range,20,20,0,A,50P,49,1,#08: amar,amar,80242,5580,14966,Regular,1,Canonical,NA,NA,Aspect,Imperfect,EAPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,40,9386,1.4919590912970295,1.5597545646218172,1.3471862502915484,-1.073254952101055,1.7092284490986265,-0.9333599599284675,1.0017534837988133,-0.9424317781022256,NA,-0.48209839765118645
HSP07,21,Female,Heritage,Sequential,39,2,0,7,7,27,0,39,Intermediate,Intermediate,11,12,0,B,50P,1,0,#08: amar,amar,80242,5580,14966,Regular,1,Canonical,NA,NA,Aspect,Imperfect,EAPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,23,9386,-0.745979545648515,-0.7952695970933606,-0.6588429107265235,2.2297796849685714,-0.013511687344653125,-0.9333599599284675,1.0017534837988133,-0.9424317781022256,NA,2.782924043899732
HSP07,21,Female,Heritage,Sequential,39,2,0,7,7,27,0,39,Intermediate,Intermediate,11,12,0,B,49P,11,0,#05: gustar,gustar,541858,94346,59408,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EAPT,Production,Frequent,NA,J,Regular imperfect filler,Herencia,Producción,23,-34938,-0.745979545648515,-0.7952695970933606,-0.6588429107265235,2.2297796849685714,-0.013511687344653125,1.0749383425648087,-0.2036489371173277,0.17130515108989816,NA,2.782924043899732
HSP07,21,Female,Heritage,Sequential,39,2,0,7,7,27,0,39,Intermediate,Intermediate,11,12,0,B,48P,21,0,#07: faltar,faltar,182742,66767,55352,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EAPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,23,-11415,-0.745979545648515,-0.7952695970933606,-0.6588429107265235,2.2297796849685714,-0.013511687344653125,-0.48742529560669184,0.43606501350108196,-0.17472543235634905,NA,2.782924043899732
HSP07,21,Female,Heritage,Sequential,39,2,0,7,7,27,0,39,Intermediate,Intermediate,11,12,0,B,47P,31,0,#04: vivir,vivir,599425,225093,130040,Regular,1,Canonical,NA,NA,Aspect,Imperfect,EAPT,Production,Frequent,NA,J,Regular imperfect filler,Herencia,Producción,23,-95053,-0.745979545648515,-0.7952695970933606,-0.6588429107265235,2.2297796849685714,-0.013511687344653125,1.3253883017941908,-1.8384916077556686,1.8117729234473618,NA,2.782924043899732
HSP07,21,Female,Heritage,Sequential,39,2,0,7,7,27,0,39,Intermediate,Intermediate,11,12,0,B,46P,41,0,#09: doler,doler,69627,11678,6450,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EAPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,23,-5228,-0.745979545648515,-0.7952695970933606,-0.6588429107265235,2.2297796849685714,-0.013511687344653125,-0.9795413888238398,0.6043220475731008,-0.8659208640786854,NA,2.782924043899732
