Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,Langs,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,ProfGroup,NativeRange,FofA_Prod,FofA_Comp,BLE,Battery,Item,Seq_Item,Response,Response_Freq,MainVerb,VerbList,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Reg_Main,Reg_Numerical,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Task,Modality,MV_Class,SV_Class,Condition,Verb_Condition,Grupo,Tarea,FofA,Token_Differential,FofA_Std,FofA_Prod_Std,FofA_Comp_Std,AoA_ENG_Std,DELE_Std,Token_Main_Std,Token_Differential_Std,Token_Pret_Std,Token_Sub_Std,LOR_Std
HSP03,2,Female,Heritage,Sequential,27,2,0,3,0,35,4,40,Advanced,Advanced,21,22,0,B,49P,11,0,0,#05: gustar,gustar,541858,94346,59408,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EMPT,Production,Frequent,NA,J,Regular imperfect filler,Herencia,Producción,43,-34938,1.9141111503811714,1.859166159594998,1.8604334650133565,0.3105743237481815,0.12840618064849807,1.075055892824066,-0.20367120721823276,0.17132388422474448,NA,-0.49273142705779494
HSP03,2,Female,Heritage,Sequential,27,2,0,3,0,35,4,40,Advanced,Advanced,21,22,0,B,48P,21,1,1,#07: faltar,faltar,182742,66767,55352,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EMPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,43,-11415,1.9141111503811714,1.859166159594998,1.8604334650133565,0.3105743237481815,0.12840618064849807,-0.48747859817075373,0.4361126995434905,-0.1747445395172522,NA,-0.49273142705779494
HSP03,2,Female,Heritage,Sequential,27,2,0,3,0,35,4,40,Advanced,Advanced,21,22,0,B,47P,31,1,1,#04: vivir,vivir,599425,225093,130040,Regular,1,Canonical,NA,NA,Aspect,Imperfect,EMPT,Production,Frequent,NA,J,Regular imperfect filler,Herencia,Producción,43,-95053,1.9141111503811714,1.859166159594998,1.8604334650133565,0.3105743237481815,0.12840618064849807,1.3255332400965316,-1.838692656649895,1.8119710505104998,NA,-0.49273142705779494
HSP03,2,Female,Heritage,Sequential,27,2,0,3,0,35,4,40,Advanced,Advanced,21,22,0,B,46P,41,0,0,#09: doler,doler,69627,11678,6450,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EMPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,43,-5228,1.9141111503811714,1.859166159594998,1.8604334650133565,0.3105743237481815,0.12840618064849807,-0.9796485069157805,0.6043881334224508,-0.8660155571583145,NA,-0.49273142705779494
HSP04,23,Female,Heritage,Simultaneous,21,2,0,0,0.33,37,3,40,Advanced,Advanced,15,16,0,A,46P,9,1,1,#09: doler,doler,69627,11678,6450,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EAPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,31,-5228,0.3420654907525287,0.27814296875830674,0.3830304192674557,-1.1269411176005437,0.12840618064849807,-0.9796485069157805,0.6043881334224508,-0.8660155571583145,NA,-0.3379084758795835
HSP04,23,Female,Heritage,Simultaneous,21,2,0,0,0.33,37,3,40,Advanced,Advanced,15,16,0,A,47P,19,1,NA,#04: vivir,vivir,599425,225093,130040,Regular,1,Canonical,NA,NA,Aspect,Imperfect,EAPT,Production,Frequent,NA,J,Regular imperfect filler,Herencia,Producción,31,-95053,0.3420654907525287,0.27814296875830674,0.3830304192674557,-1.1269411176005437,0.12840618064849807,1.3255332400965316,-1.838692656649895,1.8119710505104998,NA,-0.3379084758795835
HSP04,23,Female,Heritage,Simultaneous,21,2,0,0,0.33,37,3,40,Advanced,Advanced,15,16,0,A,48P,29,0,0,#07: faltar,faltar,182742,66767,55352,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EAPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,31,-11415,0.3420654907525287,0.27814296875830674,0.3830304192674557,-1.1269411176005437,0.12840618064849807,-0.48747859817075373,0.4361126995434905,-0.1747445395172522,NA,-0.3379084758795835
HSP04,23,Female,Heritage,Simultaneous,21,2,0,0,0.33,37,3,40,Advanced,Advanced,15,16,0,A,49P,39,0,0,#05: gustar,gustar,541858,94346,59408,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EAPT,Production,Frequent,NA,J,Regular imperfect filler,Herencia,Producción,31,-34938,0.3420654907525287,0.27814296875830674,0.3830304192674557,-1.1269411176005437,0.12840618064849807,1.075055892824066,-0.20367120721823276,0.17132388422474448,NA,-0.3379084758795835
HSP04,23,Female,Heritage,Simultaneous,21,2,0,0,0.33,37,3,40,Advanced,Advanced,15,16,0,A,50P,49,1,1,#08: amar,amar,80242,5580,14966,Regular,1,Canonical,NA,NA,Aspect,Imperfect,EAPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,31,9386,0.3420654907525287,0.27814296875830674,0.3830304192674557,-1.1269411176005437,0.12840618064849807,-0.9334620278340632,1.0018630309021865,-0.9425348380596776,NA,-0.3379084758795835
HSP05,18,Male,Heritage,Simultaneous,20,2,0,0,0,27,3,40,Advanced,Advanced,12,21,0,A,46P,9,1,1,#09: doler,doler,69627,11678,6450,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EAPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,33,-5228,0.6040731006906358,-0.5123686266600389,1.6141996240557064,-1.1269411176005437,0.12840618064849807,-0.9796485069157805,0.6043881334224508,-0.8660155571583145,NA,-0.49273142705779494
HSP05,18,Male,Heritage,Simultaneous,20,2,0,0,0,27,3,40,Advanced,Advanced,12,21,0,A,47P,19,1,1,#04: vivir,vivir,599425,225093,130040,Regular,1,Canonical,NA,NA,Aspect,Imperfect,EAPT,Production,Frequent,NA,J,Regular imperfect filler,Herencia,Producción,33,-95053,0.6040731006906358,-0.5123686266600389,1.6141996240557064,-1.1269411176005437,0.12840618064849807,1.3255332400965316,-1.838692656649895,1.8119710505104998,NA,-0.49273142705779494
